Generation,Max Fitness,Average Fitness,World,Level
1,297,6.515625,0,0
2,297,20.203125,0,0
3,297,31.8046875,0,0
4,719,55.31640625,0,0
5,898,68.22265625,0,0
6,898,96.64453125,0,0
7,898,121.06640625,0,0
8,898,122.68359375,0,0
9,1128,163.18359375,0,0
10,1140,160.34375,0,0
11,1140,164.91796875,0,0
12,1793,77.05859375,0,0
13,1796,73.96875,0,0
14,1796,80.7265625,0,0
15,1797,85.890625,0,0
16,1797,88.984375,0,0
17,1339,164.96875,0,1
18,1339,65.26953125,0,1
19,1342,142.296875,0,1
20,1342,92.53125,0,1
21,1342,89.34765625,0,1
22,1342,95.1953125,0,1
23,1342,96.75390625,0,1
24,1342,120.515625,0,1
25,1957,98.3203125,0,1
26,2114,80.05859375,0,1
27,2326,106.10546875,0,1
28,2326,116.91796875,0,1
29,2326,102.4765625,0,1
30,2326,126.76171875,0,1
31,2326,109.94921875,0,1
32,2326,120.08984375,0,1
33,2326,85.47265625,0,1
34,2326,116.59765625,0,1
35,2326,100.13671875,0,1
36,2326,165.7109375,0,1
37,2326,116.5546875,0,1
38,2326,116.48046875,0,1
39,2326,127.828125,0,1
40,2326,144.015625,0,1
41,2326,111.6796875,0,1
42,2326,131.44140625,0,1
43,2326,126.65625,0,1
44,2326,179.91796875,0,1
45,2326,117.35546875,0,1
46,2326,156.15625,0,1
47,2326,130.18359375,0,1
48,2326,166.328125,0,1
49,2326,145.71875,0,1
50,2326,127.90234375,0,1
51,2326,134.0859375,0,1
52,2326,122.26953125,0,1
53,2326,120.41015625,0,1
54,2379,143.50390625,0,1
55,2379,203.83984375,0,1
56,2379,174.53515625,0,1
57,2379,124.53125,0,1
58,2379,195.49609375,0,1
59,2379,130.65625,0,1
60,2379,193.87109375,0,1
61,2379,149.1484375,0,1
62,2496,208.33984375,0,1
63,2552,227.6640625,0,1
64,2552,185.16796875,0,1
65,2552,138.1328125,0,1
66,2552,147.55859375,0,1
67,2552,162.76171875,0,1
68,2552,126.76171875,0,1
69,2552,150.0078125,0,1
70,2552,143.51171875,0,1
71,2552,139.2578125,0,1
72,2552,170.28515625,0,1
73,2554,181.0546875,0,1
74,2554,238.109375,0,1
75,2554,161.63671875,0,1
76,2554,184.33203125,0,1
77,2554,235.375,0,1
