Generation,Max Fitness,Average Fitness,World,Level
1,297,6.64453125,0,0
2,297,19.97265625,0,0
3,316,39.140625,0,0
4,594,55.8359375,0,0
5,898,62.1796875,0,0
6,1139,76.0703125,0,0
7,1139,112.42578125,0,0
8,1139,119.921875,0,0
9,1139,125.98046875,0,0
10,2472,104.88671875,0,0
11,2474,78.765625,0,0
12,2474,88.32421875,0,0
13,2474,90.9140625,0,0
14,2474,100.765625,0,0
15,2750,111.55859375,0,0
16,2750,124.15234375,0,0
17,2756,114.80078125,0,0
18,2756,125.75390625,0,0
19,2850,132.71484375,0,0
20,2850,135.21484375,0,0
21,2850,140.140625,0,0
22,2850,138.96484375,0,0
23,1340,161.31640625,0,1
24,1340,121.74609375,0,1
25,1340,122.203125,0,1
26,1340,127.6875,0,1
27,1340,114.39453125,0,1
28,1342,142.33203125,0,1
29,1342,144.5625,0,1
30,1342,110.3359375,0,1
31,1342,141.05078125,0,1
32,1342,131.015625,0,1
33,1342,139.96875,0,1
34,1342,153.15234375,0,1
35,1342,119.6484375,0,1
36,1342,123.203125,0,1
37,1342,186.921875,0,1
38,1342,108.1953125,0,1
39,1342,166.53125,0,1
40,1342,138.82421875,0,1
41,1342,171.35546875,0,1
42,1342,177.61328125,0,1
43,1342,197.58203125,0,1
44,1342,128.93359375,0,1
45,1342,150.3828125,0,1
46,1342,150.4140625,0,1
47,1342,148.92578125,0,1
48,1342,134.59375,0,1
49,1342,132.19140625,0,1
50,1342,166.41796875,0,1
51,1342,148.3359375,0,1
52,1342,141.29296875,0,1
53,1342,153.171875,0,1
54,1342,131.3203125,0,1
55,1342,139.48828125,0,1
56,1342,136.453125,0,1
57,1342,149.6015625,0,1
58,1342,120.5390625,0,1
59,1342,124.6484375,0,1
60,1342,131.56640625,0,1
61,1342,153.91015625,0,1
62,1342,165.59375,0,1
63,1342,161.5078125,0,1
64,1342,143.3125,0,1
65,1342,144.3125,0,1
66,1342,167.15234375,0,1
67,1342,194.71484375,0,1
68,2114,133.80859375,0,1
69,2310,89.95703125,0,1
70,2310,171.69921875,0,1
71,2310,85.11328125,0,1
72,2310,105.89453125,0,1
73,2310,73.1171875,0,1
74,2310,152.78125,0,1
75,2310,114.8046875,0,1
76,2310,138.44921875,0,1
77,2310,160.03125,0,1
78,2481,126.6015625,0,1
79,2481,110.625,0,1
80,2481,201.67578125,0,1
81,2481,134.40625,0,1
