Generation,Max Fitness,Average Fitness,World,Level
1,297,6.65625,0,0
2,297,19.21875,0,0
3,297,33.80078125,0,0
4,313,52.859375,0,0
5,316,77.75390625,0,0
6,316,94.3125,0,0
7,594,111.96484375,0,0
8,885,136,0,0
9,1435,134.296875,0,0
10,1784,58.875,0,0
11,1785,71.390625,0,0
12,1785,82.84765625,0,0
13,1785,86.078125,0,0
14,1785,82.73046875,0,0
15,1785,95.60546875,0,0
16,1788,103.36328125,0,0
17,2734,108.21484375,0,0
18,2734,115.26171875,0,0
19,2734,139.51171875,0,0
20,2734,140.3515625,0,0
21,2734,154.76953125,0,0
22,2744,166.49609375,0,0
23,2744,192.265625,0,0
24,2744,198.76171875,0,0
25,2745,209.1328125,0,0
26,2745,228.484375,0,0
27,2745,215.3828125,0,0
28,2745,238.91796875,0,0
29,2757,269.8359375,0,0
30,2757,286.390625,0,0
31,2762,274.859375,0,0
32,2762,251.4296875,0,0
33,2762,273.609375,0,0
34,2762,294.171875,0,0
35,2762,264.390625,0,0
36,2762,255.30859375,0,0
37,2762,305.015625,0,0
38,2762,263.06640625,0,0
39,2762,272.40625,0,0
40,2762,284.75,0,0
41,3266,337.96875,0,0
42,956,129.75390625,0,1
43,956,113.50390625,0,1
44,1191,130.984375,0,1
45,1191,112.6171875,0,1
46,1310,108.984375,0,1
47,1341,158.359375,0,1
48,1341,123.50390625,0,1
49,1341,117.5625,0,1
50,1341,121.0859375,0,1
51,1341,127.8359375,0,1
52,1341,128.5625,0,1
53,1341,148.875,0,1
54,1341,142.85546875,0,1
55,1341,123.4609375,0,1
56,1341,135.7109375,0,1
57,1341,141.05859375,0,1
58,1341,142.98046875,0,1
59,1341,162.39453125,0,1
60,1341,151.375,0,1
61,1341,135.83203125,0,1
62,1341,135.109375,0,1
63,1341,147.4375,0,1
64,1341,162.91015625,0,1
65,1341,129.3984375,0,1
66,1341,188.20703125,0,1
67,1341,135.5,0,1
68,1341,181.85546875,0,1
69,1341,172.328125,0,1
70,1341,146.69921875,0,1
71,1341,163.71875,0,1
72,1341,180.34375,0,1
73,1341,122.6015625,0,1
74,1341,197.71484375,0,1
