Generation,Max Fitness,Average Fitness,World,Level
4,316,66.4140625,0,0
5,898,99.1171875,0,0
6,1141,114.86328125,0,0
7,1141,161.73046875,0,0
8,1141,164.30859375,0,0
9,1141,171.09765625,0,0
10,1141,135.11328125,0,0
11,2471,120.22265625,0,0
12,1192,153.375,0,1
13,1192,104.8046875,0,1
14,1196,118.07421875,0,1
15,1196,105.33984375,0,1
16,1196,97.72265625,0,1
17,1196,126.42578125,0,1
18,1199,125.4296875,0,1
19,1199,134.30078125,0,1
20,1199,125.125,0,1
21,1211,147.05078125,0,1
22,1211,114.43359375,0,1
23,1211,117.62109375,0,1
24,1211,124.1640625,0,1
25,1211,84.6015625,0,1
26,1338,140.21484375,0,1
27,1338,107.640625,0,1
28,1338,124.65625,0,1
29,1341,155.26953125,0,1
30,1341,136.16796875,0,1
