Generation,Max Fitness,Average Fitness,World,Level
1,297,6.46484375,0,0
2,297,19.29296875,0,0
3,313,29.58203125,0,0
4,722,43.22265625,0,0
5,856,47.39453125,0,0
6,898,67.08984375,0,0
7,1139,80.40234375,0,0
8,1139,120.19140625,0,0
9,1140,103.74609375,0,0
10,1141,120.27734375,0,0
11,1141,140.48046875,0,0
12,1141,125.08203125,0,0
13,1141,131.25,0,0
14,1176,142.86328125,0,0
15,1437,143.19140625,0,0
16,1518,62.51953125,0,0
17,2469,79.27734375,0,0
18,2469,87.89453125,0,0
19,2474,92.7421875,0,0
20,680,152.7578125,0,1
21,1178,76.3046875,0,1
22,1178,81.83203125,0,1
23,1344,109.359375,0,1
24,1344,93.40625,0,1
25,1344,93.609375,0,1
26,1344,148.44140625,0,1
27,1344,123.57421875,0,1
28,1344,97.4140625,0,1
29,1344,153.35546875,0,1
30,1344,133.9609375,0,1
31,1344,105.88671875,0,1
32,1344,148.55859375,0,1
33,1344,155.5,0,1
34,1344,165.62109375,0,1
35,1344,145.0625,0,1
36,1344,135.01171875,0,1
37,1344,133.4375,0,1
38,1344,150.84765625,0,1
39,1344,145.31640625,0,1
40,1344,137.03515625,0,1
41,1344,149.01171875,0,1
42,1344,157.7109375,0,1
43,1344,121.30078125,0,1
44,1344,139.07421875,0,1
45,1344,141.37109375,0,1
46,1344,154.4296875,0,1
47,1344,178.71484375,0,1
48,1344,175.328125,0,1
49,1344,165.84375,0,1
50,1344,149.546875,0,1
51,1556,190.90234375,0,1
52,1556,140.6015625,0,1
53,1556,151.54296875,0,1
54,1556,158.609375,0,1
55,1556,197.5234375,0,1
56,1556,156.6015625,0,1
57,1556,180.16015625,0,1
58,1556,175.44921875,0,1
59,1556,162.2578125,0,1
60,1556,169.87890625,0,1
61,1556,182.34375,0,1
62,1556,189.984375,0,1
63,1556,209.51171875,0,1
64,1556,193.296875,0,1
65,1556,206.0546875,0,1
66,1556,191.4609375,0,1
67,1556,187.46484375,0,1
68,1556,189.5390625,0,1
69,1556,184.76171875,0,1
70,1556,180.5546875,0,1
71,1556,193.328125,0,1
72,1556,198.6484375,0,1
73,1556,193.76953125,0,1
74,1556,163.00390625,0,1
75,1556,160.41796875,0,1
76,1556,169.11328125,0,1
77,1556,205.69140625,0,1
78,1556,137.546875,0,1
79,1556,177.05859375,0,1
80,1556,127.23828125,0,1
81,1556,151.96484375,0,1
82,1556,159.64453125,0,1
83,1556,122.26171875,0,1
