Generation,Max Fitness,Average Fitness,World,Level
1,297,6.32421875,0,0
2,297,20.16796875,0,0
3,594,31.58984375,0,0
4,900,44.7734375,0,0
5,900,52.8515625,0,0
6,900,95.88671875,0,0
7,900,119.35546875,0,0
8,1517,91.328125,0,0
9,1520,59.3359375,0,0
10,1520,69.15625,0,0
11,1672,78.015625,0,0
12,1675,78.6171875,0,0
13,1675,80.203125,0,0
14,1675,79.21875,0,0
15,1675,82.8203125,0,0
16,1797,90.6953125,0,0
17,2018,90.80078125,0,0
18,2469,98.17578125,0,0
19,2469,102.734375,0,0
20,2469,106.640625,0,0
21,2472,113.31640625,0,0
22,2472,124.67578125,0,0
23,2472,151.81640625,0,0
24,2756,147.8125,0,0
25,671,204.37890625,0,1
26,1333,138.5703125,0,1
27,1333,115.18359375,0,1
28,1333,120.10546875,0,1
29,1342,166.04296875,0,1
30,1342,163.40625,0,1
31,1342,145.87109375,0,1
32,1342,150.27734375,0,1
33,1342,138.93359375,0,1
34,1342,143.3125,0,1
35,1342,145.64453125,0,1
36,1342,165.0234375,0,1
37,1342,149.640625,0,1
38,1342,169.12890625,0,1
39,1342,193.09765625,0,1
40,1342,207.68359375,0,1
41,1342,200.17578125,0,1
42,1342,197.87890625,0,1
43,1342,273.59765625,0,1
44,1342,234.84375,0,1
45,1342,206.66015625,0,1
46,1342,176.80078125,0,1
47,1342,154.9140625,0,1
48,1342,184.76171875,0,1
49,1342,164.125,0,1
50,1342,183.23828125,0,1
51,1342,169.09765625,0,1
52,1553,164.66015625,0,1
53,1553,246.78125,0,1
54,1553,232.984375,0,1
55,1553,233.8671875,0,1
56,1553,212.59375,0,1
57,1553,212.23046875,0,1
58,1553,249.84375,0,1
59,1553,318.546875,0,1
60,1553,264.19921875,0,1
61,1553,315.6796875,0,1
62,2123,217.5390625,0,1
63,2335,77.078125,0,1
64,2335,92.06640625,0,1
65,2335,96.60546875,0,1
66,2335,109.22265625,0,1
67,2335,129.89453125,0,1
68,2335,92.88671875,0,1
69,2335,82.6328125,0,1
70,2335,116.0703125,0,1
71,2335,94.5,0,1
72,2335,115.89453125,0,1
73,2335,151.48046875,0,1
74,2335,137.59765625,0,1
75,2335,137.859375,0,1
76,2552,129.5546875,0,1
77,2552,150.92578125,0,1
78,2552,121.015625,0,1
79,2552,122.88671875,0,1
