Generation,Max Fitness,Average Fitness,World,Level
1,297,5.6015625,0,0
2,722,19.34765625,0,0
3,722,28.94140625,0,0
4,722,35.88671875,0,0
5,898,34.8125,0,0
6,1128,63.06640625,0,0
7,1128,77.921875,0,0
8,1129,83.671875,0,0
9,1141,98.796875,0,0
10,1141,105.68359375,0,0
11,1662,78.953125,0,0
12,1672,65.625,0,0
13,1798,83.109375,0,0
14,2473,96.35546875,0,0
15,2748,101.9140625,0,0
16,2748,108.59375,0,0
17,2748,113.671875,0,0
18,2748,107.66796875,0,0
19,2748,119.7109375,0,0
20,2748,127.99609375,0,0
21,2748,144.0078125,0,0
22,2748,123.1875,0,0
23,2748,156.87109375,0,0
24,2748,186.0390625,0,0
25,2748,189.3359375,0,0
26,2748,196.76953125,0,0
27,2748,199.28515625,0,0
28,2748,181.0625,0,0
29,2756,211.19921875,0,0
30,2756,217.40234375,0,0
31,2756,188.99609375,0,0
32,2756,224.8359375,0,0
33,2756,220.08984375,0,0
34,1945,152.52734375,0,1
35,1955,41.41015625,0,1
36,2266,58.4140625,0,1
37,2266,80.66796875,0,1
38,2266,83.25,0,1
39,2266,123.4296875,0,1
40,2266,147.23046875,0,1
41,2266,142.171875,0,1
42,2266,135.875,0,1
43,2269,77.94140625,0,1
44,2269,118.17578125,0,1
45,2269,83.24609375,0,1
46,2387,144.8984375,0,1
47,2387,108.640625,0,1
48,2387,101.796875,0,1
49,2387,116.73046875,0,1
50,2387,133.98828125,0,1
51,2387,105.61328125,0,1
52,2387,119.75390625,0,1
53,2387,149.8671875,0,1
54,2387,116.94921875,0,1
55,2387,219.6328125,0,1
56,2387,156.453125,0,1
57,2387,194.39453125,0,1
58,2387,166.2421875,0,1
59,2387,160.140625,0,1
60,2387,100.01953125,0,1
61,2387,142.859375,0,1
62,2469,185.25390625,0,1
63,629,234.29296875,0,2
64,751,206.34765625,0,2
65,751,230.26953125,0,2
66,783,236.2578125,0,2
67,784,249.06640625,0,2
68,784,257.7734375,0,2
69,784,255.10546875,0,2
70,784,263.83984375,0,2
71,784,257.98046875,0,2
72,784,278.08984375,0,2
73,784,269.43359375,0,2
74,784,271.15234375,0,2
75,784,266.41015625,0,2
