Generation,Max Fitness,Average Fitness,World,Level
1,297,5.80859375,0,0
2,297,16.03125,0,0
3,594,28.8046875,0,0
4,722,31.0234375,0,0
5,898,61.671875,0,0
6,898,68.828125,0,0
7,1139,78.12890625,0,0
8,1140,111.9609375,0,0
9,1140,118.06640625,0,0
10,1141,134.94921875,0,0
11,1141,143.03515625,0,0
12,1141,148.66796875,0,0
13,1141,157.0078125,0,0
14,1141,169.84375,0,0
15,1141,158.37109375,0,0
16,2472,106.9140625,0,0
17,2472,82.75390625,0,0
18,2708,89.1953125,0,0
19,2747,91.41015625,0,0
20,2747,96.86328125,0,0
21,2750,106.88671875,0,0
22,2750,109.94140625,0,0
23,2750,117.984375,0,0
24,2757,121,0,0
25,2757,135.12890625,0,0
26,2994,137.9921875,0,0
27,2994,143.65234375,0,0
28,2994,145.63671875,0,0
29,2994,148.94140625,0,0
30,889,180.75,0,1
31,1208,70.1875,0,1
32,1208,81.578125,0,1
33,1340,116.8828125,0,1
34,1341,123.40234375,0,1
35,1341,139.08984375,0,1
36,1341,129.71484375,0,1
37,1341,125.83984375,0,1
38,1341,131.1015625,0,1
39,1341,142.44140625,0,1
40,2334,146.75390625,0,1
41,2468,96.453125,0,1
42,2506,126.90625,0,1
43,2506,113.9453125,0,1
44,2506,123.78515625,0,1
45,2506,134.25390625,0,1
46,2506,121.296875,0,1
47,2506,159.99609375,0,1
48,2506,161.8984375,0,1
49,2506,146.8515625,0,1
50,2506,166.49609375,0,1
51,2506,212.9609375,0,1
52,2962,153.734375,0,1
53,2962,202.68359375,0,1
54,2962,217.56640625,0,1
55,2962,201.76171875,0,1
56,2962,166.84765625,0,1
57,2962,186.58984375,0,1
58,2962,144.8515625,0,1
59,2962,199.2578125,0,1
60,2962,184.40234375,0,1
61,2962,258.91015625,0,1
62,622,260.16015625,0,2
63,631,214.640625,0,2
64,632,236.41796875,0,2
65,704,259.20703125,0,2
66,704,255.296875,0,2
67,747,265.46875,0,2
68,758,253.6171875,0,2
69,759,254.265625,0,2
70,770,266.03515625,0,2
71,770,262.96484375,0,2
72,770,285.7578125,0,2
73,943,282.37890625,0,2
74,943,293.21875,0,2
75,943,302.7890625,0,2
76,943,296.78515625,0,2
77,943,314.23046875,0,2
