Generation,Max Fitness,Average Fitness,World,Level
1,297,6.44140625,0,0
2,297,19.72265625,0,0
3,525,30.39453125,0,0
4,722,47.60546875,0,0
5,898,55.91796875,0,0
6,898,73.28125,0,0
7,898,97.4609375,0,0
8,1128,108.359375,0,0
9,1128,108.0546875,0,0
10,1128,132.45703125,0,0
11,1139,153.375,0,0
12,1139,146.51953125,0,0
13,1139,147.8671875,0,0
14,1139,156.1484375,0,0
15,1139,165.0703125,0,0
16,1139,162.3203125,0,0
17,1139,151.9375,0,0
18,2744,157.859375,0,0
19,2744,85.9765625,0,0
20,2744,85.69921875,0,0
21,2744,98.671875,0,0
22,2744,99.2265625,0,0
23,2754,103.19921875,0,0
24,2754,90.71875,0,0
25,2754,103.2578125,0,0
26,2754,108.96484375,0,0
27,2754,104.21484375,0,0
28,2754,99.41015625,0,0
29,2754,108.9453125,0,0
30,2754,100.12890625,0,0
31,2754,102.84375,0,0
32,2754,124.578125,0,0
33,2754,107.66796875,0,0
34,2754,120.5703125,0,0
35,2754,140.04296875,0,0
36,2754,148.3828125,0,0
37,2754,151.32421875,0,0
38,679,182.32421875,0,1
39,905,74.02734375,0,1
40,905,86.515625,0,1
41,905,85.54296875,0,1
42,905,87.359375,0,1
43,905,88.33984375,0,1
44,934,103.3203125,0,1
45,1202,115.27734375,0,1
46,1202,93.50390625,0,1
47,1202,109.52734375,0,1
48,1202,102.796875,0,1
49,1202,126.671875,0,1
50,1202,85.578125,0,1
51,1202,96.21484375,0,1
52,1202,101.9609375,0,1
53,1340,131.71484375,0,1
54,1341,124.3671875,0,1
55,1341,109.92578125,0,1
56,1341,177.21484375,0,1
57,1341,160.2265625,0,1
58,1341,135.5,0,1
59,1341,150,0,1
60,1341,108.8359375,0,1
61,1341,125.63671875,0,1
62,2114,114.46484375,0,1
63,2230,134.640625,0,1
64,2291,139.53125,0,1
65,2291,96.109375,0,1
66,2291,122.80859375,0,1
67,2291,118.96875,0,1
68,2550,105.9609375,0,1
69,2550,112.6171875,0,1
70,2550,120.09375,0,1
71,2550,108.76171875,0,1
72,2550,148.734375,0,1
73,2550,120.875,0,1
74,2550,114.0703125,0,1
75,2550,131.11328125,0,1
76,2550,143.5625,0,1
77,2550,125.5546875,0,1
78,421,195.69140625,0,2
79,422,189.76171875,0,2
80,771,204.38671875,0,2
