Generation,Max Fitness,Average Fitness,World,Level
1,297,6.5078125,0,0
2,297,19.76171875,0,0
3,722,24.265625,0,0
4,822,43.73046875,0,0
5,898,46.34765625,0,0
6,1140,77.203125,0,0
7,1140,98.70703125,0,0
8,1140,122.89453125,0,0
9,1140,139.19140625,0,0
10,2717,170.78125,0,0
11,2717,63.3203125,0,0
12,2717,75.9140625,0,0
13,2717,81,0,0
14,2717,82.26953125,0,0
15,2717,82.74609375,0,0
16,2717,81.953125,0,0
17,2717,88.203125,0,0
18,2717,94.44921875,0,0
19,2742,112.3359375,0,0
20,2742,117.1640625,0,0
21,2742,132.69921875,0,0
22,2742,146.56640625,0,0
23,2751,175.48828125,0,0
24,2751,185.984375,0,0
25,2756,184.98828125,0,0
26,2756,210.21484375,0,0
27,1105,240.12109375,0,1
28,1327,87.3671875,0,1
29,1327,123.29296875,0,1
30,1327,132.5703125,0,1
31,1327,134.17578125,0,1
32,1327,145.6640625,0,1
33,1327,140.21875,0,1
34,1327,154.1328125,0,1
35,1327,148.203125,0,1
36,1327,150.69140625,0,1
37,1555,145.6953125,0,1
38,1555,148.15625,0,1
39,1555,148.6953125,0,1
40,1555,146.34765625,0,1
41,1555,160.1015625,0,1
42,1558,202.0078125,0,1
43,1558,141.609375,0,1
44,1558,151.09375,0,1
45,1558,159.5625,0,1
46,1558,142.890625,0,1
47,1558,145.52734375,0,1
48,1558,127.6796875,0,1
49,1558,137.80078125,0,1
50,2316,117.55078125,0,1
51,2316,83.69140625,0,1
52,2404,92.2421875,0,1
53,2404,114.57421875,0,1
54,2404,144.7578125,0,1
55,2404,129.1484375,0,1
56,2404,120.49609375,0,1
57,2404,134.7890625,0,1
58,2484,115.125,0,1
59,2484,108.3125,0,1
60,2484,119.2890625,0,1
61,2484,92.953125,0,1
62,2484,146.6484375,0,1
63,2484,117.68359375,0,1
64,2484,98.515625,0,1
65,2484,90.2890625,0,1
66,2484,125.9453125,0,1
67,610,203.484375,0,2
68,625,201.3359375,0,2
69,629,217.42578125,0,2
70,629,216.2265625,0,2
71,782,236.328125,0,2
72,782,228.84375,0,2
73,782,229.62109375,0,2
74,782,220.98828125,0,2
75,783,253.40234375,0,2
76,783,247.296875,0,2
77,783,249.58203125,0,2
78,783,243.92578125,0,2
