Generation,Max Fitness,Average Fitness,World,Level
1,297,6.4765625,0,0
2,297,19.8515625,0,0
3,315,35.90625,0,0
4,722,53.28125,0,0
5,838,54.13671875,0,0
6,1139,75.60546875,0,0
7,1139,111.26953125,0,0
8,1139,125.32421875,0,0
9,1139,161.63671875,0,0
10,1139,116.94140625,0,0
11,1139,171.8515625,0,0
12,1139,155.234375,0,0
13,1139,155.9375,0,0
14,1141,153.70703125,0,0
15,1141,165.734375,0,0
16,1796,99.59765625,0,0
17,1796,87.2890625,0,0
18,2466,100.5234375,0,0
19,2472,106.07421875,0,0
20,2472,115.69140625,0,0
21,2472,126.0625,0,0
22,2474,122.15234375,0,0
23,2752,137.29296875,0,0
24,2752,181.53125,0,0
25,2752,160.38671875,0,0
26,2752,184.08984375,0,0
27,2752,213.0625,0,0
28,2752,209.2890625,0,0
29,1345,181.1953125,0,1
30,1345,70.796875,0,1
31,1345,97.953125,0,1
32,1345,93.74609375,0,1
33,1345,98.28125,0,1
34,1345,94.8515625,0,1
35,1345,107.14453125,0,1
36,1345,132.31640625,0,1
37,1345,120.67578125,0,1
38,1345,169.6328125,0,1
39,1345,127.61328125,0,1
40,1345,159.4375,0,1
41,1345,160.421875,0,1
42,1345,169.22265625,0,1
43,1345,131.10546875,0,1
44,1345,161.76171875,0,1
45,1345,175.74609375,0,1
46,1345,141.75390625,0,1
47,1345,181.6171875,0,1
48,1345,206.72265625,0,1
49,1345,160.05859375,0,1
50,1345,171.23046875,0,1
51,1345,181.078125,0,1
52,1558,178.4296875,0,1
53,1558,169.79296875,0,1
54,1558,163.56640625,0,1
55,1558,149.3203125,0,1
56,1558,180.22265625,0,1
57,1558,164.37109375,0,1
58,1558,147.34765625,0,1
59,1558,144.59765625,0,1
60,1558,135.15625,0,1
61,1730,166.14453125,0,1
62,2468,87.8828125,0,1
63,2468,120.4453125,0,1
64,2468,132.11328125,0,1
65,2468,173.0078125,0,1
66,2468,149.03515625,0,1
67,2468,94.23046875,0,1
68,2468,89.38671875,0,1
69,2468,129.36328125,0,1
70,2468,110.84765625,0,1
71,2468,118.5390625,0,1
72,2468,137.20703125,0,1
73,2468,128.51171875,0,1
74,2468,126.15625,0,1
75,2468,129.140625,0,1
76,2485,146.59765625,0,1
77,2485,209.63671875,0,1
78,2485,150.09375,0,1
79,2502,160.53515625,0,1
80,2502,137,0,1
